NO_BATCH	TGL_PENGAMBILAN	NOMOR_MO	KODE_BARANG	LOKASI	QUANTITY	HARGA_PER_UNIT	STATIS	NO_AKUN	STATIS	STATIS	STATIS
[APH0030201] Phenylephrine HCl, Cheng fong Chemical	2016-04-26 02:20:49	PO00895	APH003	Suppliers	10.0	0.0	STATIS	10010101	STATIS	STATIS	STATIS

[APH0030201] Phenylephrine HCl, Cheng fong Chemical	2016-06-01 05:00:00	PO00895	APH003	Input	10.0	0.0	STATIS	10010101	STATIS	STATIS	STATIS

[BAL0010101] Alcohol, Karsavicta Satya	2016-04-26 07:42:39	PO00903	BAL001	Suppliers	200.0	7695.360000000001	STATIS	10010102	STATIS	STATIS	STATIS

[BAL0010101] Alcohol, Karsavicta Satya	2016-06-01 05:00:00	PO00903	BAL001	Input	200.0	7695.360000000001	STATIS	10010102	STATIS	STATIS	STATIS

[BGL0020101] Glycerine, Ecogreen Oleochem	2016-04-26 07:37:22	PO00905	BGL002	Suppliers	5000.0	10240.27	STATIS	10010102	STATIS	STATIS	STATIS

[BGL0020101] Glycerine, Ecogreen Oleochem	2016-06-01 05:00:00	PO00905	BGL002	Input	5000.0	10240.27	STATIS	10010102	STATIS	STATIS	STATIS

[ACM0010101] Chlorpheniramine Maleat, Supriya Lifescience	2016-04-26 07:30:03	PO00904	ACM001	Suppliers	25.0	200544.88	STATIS	10010101	STATIS	STATIS	STATIS

