name,Product,product_uom,product_qty,yield,Don't Import,BoM Lines / Product Unit of Measure,BoM Lines / Product Quantity,bom_lines/component_type,type,BoM Lines / Product
,,,,, BPP0010101 ,kg,0.054,raw_material,,BPP0010101
,,,,, BTD0010101 ,kg,0.4,raw_material,,BTD0010101
,,,,, BTD0010201 ,kg,0.4,raw_material,,BTD0010201
Natura Nigela S 700,Natura Nigela S 700,Kp Lu,220000,98.97%, BGE0020101 ,kg,43,raw_material,Normal,BGE0020101
,,,,, BGE0020201 ,kg,43,raw_material,,BGE0020201
,,,,, BGE0020301 ,kg,43,raw_material,,BGE0020301
,,,,, BGE0040101 ,kg,43,raw_material,,BGE0040101
,,,,, BGL0020101 ,kg,34,raw_material,,BGL0020101
,,,,, BGL0020201 ,kg,34,raw_material,,BGL0020201
,,,,, BGL0020301 ,kg,34,raw_material,,BGL0020301
,,,,, BMP0010101 ,kg,0.129,raw_material,,BMP0010101
,,,,, BMP0010201 ,kg,0.129,raw_material,,BMP0010201
,,,,, BPP0010101 ,kg,0.054,raw_material,,BPP0010101
Natura Omega S 650,Natura Omega S 650,Kp Lu,220000,99.62%, BGE0020101 ,kg,43,raw_material,Normal,BGE0020101
,,,,, BGE0020201 ,kg,43,raw_material,,BGE0020201
,,,,, BGE0020301 ,kg,43,raw_material,,BGE0020301
,,,,, BGE0040101 ,kg,43,raw_material,,BGE0040101
,,,,, BGL0020101 ,kg,34,raw_material,,BGL0020101
,,,,, BGL0020201 ,kg,34,raw_material,,BGL0020201
,,,,, BGL0020301 ,kg,34,raw_material,,BGL0020301
,,,,, BMP0010101 ,kg,0.129,raw_material,,BMP0010101
,,,,, BMP0010201 ,kg,0.129,raw_material,,BMP0010201
,,,,, BPP0010101 ,kg,0.054,raw_material,,BPP0010101
Pure Fish Oil ,Pure Fish Oil ,Kp Lu,220000,, BGE0020101 ,kg,43,raw_material,Normal,BGE0020101
,,,,, BGE0020201 ,kg,43,raw_material,,BGE0020201
,,,,, BGE0020301 ,kg,43,raw_material,,BGE0020301
,,,,, BGE0040101 ,kg,43,raw_material,,BGE0040101
,,,,, BGL0020101 ,kg,34,raw_material,,BGL0020101
,,,,, BGL0020201 ,kg,34,raw_material,,BGL0020201
,,,,, BGL0020301 ,kg,34,raw_material,,BGL0020301
,,,,, BMP0010101 ,kg,0.129,raw_material,,BMP0010101
,,,,, BMP0010201 ,kg,0.129,raw_material,,BMP0010201
,,,,, BPP0010101 ,kg,0.054,raw_material,,BPP0010101
Vitamin A 100.000 IU,Vitamin A 100.000 IU,Kp Lu,310000,, BGE0020101 ,kg,43,raw_material,Normal,BGE0020101
,,,,, BGE0020201 ,kg,43,raw_material,,BGE0020201
,,,,, BGE0020301 ,kg,43,raw_material,,BGE0020301
,,,,, BGE0040101 ,kg,43,raw_material,,BGE0040101
,,,,, BGL0020101 ,kg,34,raw_material,,BGL0020101
,,,,, BGL0020201 ,kg,34,raw_material,,BGL0020201
,,,,, BGL0020301 ,kg,34,raw_material,,BGL0020301
,,,,, BPW0010101 ,Liter(s),76,raw_material,,BPW0010101
,,,,, BMP0010101 ,kg,0.129,raw_material,,BMP0010101
,,,,, BMP0010201 ,kg,0.129,raw_material,,BMP0010201
,,,,, BPP0010101 ,kg,0.54,raw_material,,BPP0010101
,,,,, BEP0010101 ,kg,0.3,raw_material,,BEP0010101
,,,,, BTD0010101 ,kg,0.1,raw_material,,BTD0010101
,,,,, BTD0010201 ,kg,0.1,raw_material,,BTD0010201
,,,,, AVA0010101 ,kg,19.51,raw_material,,AVA0010101
,,,,, AVA0010201 ,kg,19.51,raw_material,,AVA0010201
,,,,, BSO0030101 ,kg,65.74,raw_material,,BSO0030101
,,,,, BSO0030201 ,kg,65.74,raw_material,,BSO0030201
,,,,, BSO0030301 ,kg,65.74,raw_material,,BSO0030301
,,,,, BSO0030401 ,kg,65.74,raw_material,,BSO0030401
,,,,, CBO0290100 ,Pcs,"6,200",kemas_primer,,CBO0290100
,,,,, CTB0120100 ,Pcs,"6,200",kemas_primer,,CTB0120100
,,,,, CSG0010100 ,kg,6,kemas_primer,,CSG0010100
,,,,, LBK0010100 ,Pcs,"6,200",kemas_primer,,LBK0010100
,,,,, CET1080100 ,Pcs,"6,201",kemas_sekunder,,CET1080100
,,,,, CET1080200 ,Pcs,"6,201",kemas_sekunder,,CET1080200
,,,,, CET1080300 ,Pcs,"6,201",kemas_sekunder,,CET1080300
,,,,, CET1080400 ,Pcs,"6,201",kemas_sekunder,,CET1080400
,,,,, CBR0980100 ,Pcs,"6,201",kemas_sekunder,,CBR0980100
,,,,, CBR0980200 ,Pcs,"6,201",kemas_sekunder,,CBR0980200
,,,,, CBR0980300 ,Pcs,"6,201",kemas_sekunder,,CBR0980300
,,,,, LBK0160100 ,Pcs,62,kemas_sekunder,,LBK0160100
,,,,, CSH0200100 ,Pcs,21,kemas_sekunder,,CSH0200100
,,,,, LBK0100100 ,Pcs,63,kemas_sekunder,,LBK0100100
,,,,, CCT0010100 ,Roll,3,kemas_sekunder,,CCT0010100
,,,,, CCT0010200 ,Roll,3,kemas_sekunder,,CCT0010200
,,,,, CPB0010100 ,Roll,1,kemas_sekunder,,CPB0010100
,,,,, CPB0010200 ,Roll,1,kemas_sekunder,,CPB0010200
Vitamin A 200.000 IU,Vitamin A 200.000 IU,Kp Lu,320000,99.44%, BGE0020101 ,kg,43, raw_material ,Normal,BGE0020101
,,,,, BGE0020201 ,kg,43, raw_material ,,BGE0020201
,,,,, BGE0020301 ,kg,43, raw_material ,,BGE0020301
,,,,, BGE0040101 ,kg,43, raw_material ,,BGE0040101
,,,,, BGL0020101 ,kg,34, raw_material ,,BGL0020101
,,,,, BGL0020201 ,kg,34, raw_material ,,BGL0020201
,,,,, BGL0020301 ,kg,34, raw_material ,,BGL0020301
,,,,, BPW0010101 ,Liter(s),76, raw_material ,,BPW0010101
,,,,, BMP0010101 ,kg,0.129, raw_material ,,BMP0010101
,,,,, BMP0010201 ,kg,0.129, raw_material ,,BMP0010201
,,,,, BPP0010101 ,kg,0.54, raw_material ,,BPP0010101
,,,,, BET0020101 ,g,240, raw_material ,,BET0020101
,,,,, BEC0020101 ,kg,0.3, raw_material ,,BEC0020101
,,,,, BTD0010101 ,kg,0.4, raw_material ,,BTD0010101
,,,,, BTD0010201 ,kg,0.4, raw_material ,,BTD0010201
,,,,, AVA0010101 ,kg,40.282, raw_material ,,AVA0010101
,,,,, AVA0010201 ,kg,40.282, raw_material ,,AVA0010201
,,,,, BSO0030101 ,kg,79.718, raw_material ,,BSO0030101
,,,,, BSO0030201 ,kg,79.718, raw_material ,,BSO0030201
,,,,, BSO0030301 ,kg,79.718, raw_material ,,BSO0030301
,,,,, BSO0030401 ,kg,79.718, raw_material ,,BSO0030401
,,,,, CBO0290100 ,Pcs,"6,400", kemas_primer ,,CBO0290100
,,,,, CTB0140100 ,Pcs,"6,400", kemas_primer ,,CTB0140100
,,,,, CSG0010100 ,kg,6, kemas_primer ,,CSG0010100
,,,,, LBK0010100 ,Pcs,"6,400", kemas_primer ,,LBK0010100
,,,,, CET1090100 ,Pcs,"6,401", kemas_sekunder ,,CET1090100
,,,,, CET1090200 ,Pcs,"6,401", kemas_sekunder ,,CET1090200
,,,,, CET1090300 ,Pcs,"6,401", kemas_sekunder ,,CET1090300
,,,,, CET1090400 ,Pcs,"6,401", kemas_sekunder ,,CET1090400
,,,,, CBR0980100 ,Pcs,"6,401", kemas_sekunder ,,CBR0980100
,,,,, CBR0980200 ,Pcs,"6,401", kemas_sekunder ,,CBR0980200
,,,,, CBR0980300 ,Pcs,"6,401", kemas_sekunder ,,CBR0980300
,,,,, LBK0160100 ,Pcs,64, kemas_sekunder ,,LBK0160100
,,,,, CSH0200100 ,Pcs,21, kemas_sekunder ,,CSH0200100
,,,,, LBK0100100 ,Pcs,65, kemas_sekunder ,,LBK0100100
,,,,, CCT0010100 ,Roll,3, kemas_sekunder ,,CCT0010100
,,,,, CCT0010200 ,Roll,3, kemas_sekunder ,,CCT0010200
,,,,, CPB0010100 ,Roll,1, kemas_sekunder ,,CPB0010100
,,,,, CPB0010200 ,Roll,1, kemas_sekunder ,,CPB0010200
Antasida Doen 60 ml,Antasida Doen 60 ml,Botol,3225,99.31%, AAH0010101 ,kg,10.46, raw_material ,Normal,AAH0010101
,,,,, AAH0010201 ,kg,10.46, raw_material ,,AAH0010201
,,,,, AAH0010301 ,kg,10.46, raw_material ,,AAH0010301
,,,,, AMH0010101 ,kg,8, raw_material ,,AMH0010101
,,,,, AMH0010201 ,kg,8, raw_material ,,AMH0010201
,,,,, AMH0010301 ,kg,8, raw_material ,,AMH0010301
,,,,, BXG0010101 ,kg,0.7, raw_material ,,BXG0010101
,,,,, BCS0010101 ,kg,0.65, raw_material ,,BCS0010101
,,,,, BCA0010101 ,kg,2.012, raw_material ,,BCA0010101
,,,,, BCA0010201 ,kg,2.012, raw_material ,,BCA0010201
,,,,, BMP0010101 ,kg,0.175, raw_material ,,BMP0010101
,,,,, BMP0010201 ,kg,0.175, raw_material ,,BMP0010201
,,,,, BPP0010101 ,kg,0.105, raw_material ,,BPP0010101
,,,,, BSC0050101 ,kg,0.25, raw_material ,,BSC0050101
,,,,, BSU0020101 ,kg,3, raw_material ,,BSU0020101
,,,,, BSU0020201 ,kg,3, raw_material ,,BSU0020201
,,,,, BSU0020301 ,kg,3, raw_material ,,BSU0020301
,,,,, BSU0020401 ,kg,3, raw_material ,,BSU0020401
,,,,, BSU0020501 ,kg,3, raw_material ,,BSU0020501
,,,,, BSU0020601 ,kg,3, raw_material ,,BSU0020601
,,,,, BGL0020101 ,kg,25.238, raw_material ,,BGL0020101
,,,,, BGL0020201 ,kg,25.238, raw_material ,,BGL0020201
,,,,, BGL0020301 ,kg,25.238, raw_material ,,BGL0020301
,,,,, BPG0010101 ,kg,5.174, raw_material ,,BPG0010101
,,,,, BPG0010201 ,kg,5.174, raw_material ,,BPG0010201
,,,,, BPG0010301 ,kg,5.174, raw_material ,,BPG0010301
,,,,, BPG0010401 ,kg,5.174, raw_material ,,BPG0010401
,,,,, BSO0020101 ,kg,39.144, raw_material ,,BSO0020101
,,,,, BSO0020201 ,kg,39.144, raw_material ,,BSO0020201
,,,,, BPO0030101 ,kg,0.135, raw_material ,,BPO0030101
,,,,, BPO0030201 ,kg,0.135, raw_material ,,BPO0030201
,,,,, BPW0010101 ,Liter(s),200, raw_material ,,BPW0010101
,,,,, CBO0090100 ,Pcs,"3,300", kemas_primer ,,CBO0090100
,,,,, CBO0090200 ,Pcs,"3,300", kemas_primer ,,CBO0090200
,,,,, CBO0090300 ,Pcs,"3,300", kemas_primer ,,CBO0090300
,,,,, CBO0090400 ,Pcs,"3,300", kemas_primer ,,CBO0090400
,,,,, CBO0090500 ,Pcs,"3,300", kemas_primer ,,CBO0090500
,,,,, CDO0040100 ,Pcs,"3,300", kemas_primer ,,CDO0040100
,,,,, CDO0040200 ,Pcs,"3,300", kemas_primer ,,CDO0040200
,,,,, CDO0040300 ,Pcs,"3,300", kemas_primer ,,CDO0040300
,,,,, CDO0040400 ,Pcs,"3,300", kemas_primer ,,CDO0040400
,,,,, CET0120100 ,Pcs,"3,226", kemas_sekunder ,,CET0120100
,,,,, CET0120200 ,Pcs,"3,226", kemas_sekunder ,,CET0120200
,,,,, CET0120300 ,Pcs,"3,226", kemas_sekunder ,,CET0120300
,,,,, CET0120400 ,Pcs,"3,226", kemas_sekunder ,,CET0120400
,,,,, CBR0070100 ,Pcs,"3,226", kemas_sekunder ,,CBR0070100
,,,,, CBR0070200 ,Pcs,"3,226", kemas_sekunder ,,CBR0070200
,,,,, CBR0070300 ,Pcs,"3,226", kemas_sekunder ,,CBR0070300
,,,,, CRA0070100 ,Set,65, kemas_sekunder ,,CRA0070100
,,,,, CSH0170100 ,Pcs,22, kemas_sekunder ,,CSH0170100
,,,,, LBK0100100 ,Pcs,66, kemas_sekunder ,,LBK0100100
,,,,, CCT0010100 ,Roll,2, kemas_sekunder ,,CCT0010100
,,,,, CCT0010200 ,Roll,2, kemas_sekunder ,,CCT0010200
,,,,, CPB0010100 ,Roll,1, kemas_sekunder ,,CPB0010100
,,,,, CPB0010200 ,Roll,1, kemas_sekunder ,,CPB0010200
BAB 100 ml,BAB 100 ml,Botol,1980,97.88%, AVA0010101 ,kg,0.063, raw_material ,Normal,AVA0010101
,,,,, AVA0010201 ,kg,0.063, raw_material ,,AVA0010201
,,,,, ATH0030101 ,kg,0.04, raw_material ,,ATH0030101
,,,,, ARP0010101 ,g,55, raw_material ,,ARP0010101
,,,,, APH0060101 ,kg,0.08, raw_material ,,APH0060101
,,,,, ACY0010101 ,g,0.12, raw_material ,,ACY0010101
,,,,, ACY0010201 ,g,0.12, raw_material ,,ACY0010201
,,,,, ANI0010101 ,g,600, raw_material ,,ANI0010101
