id,user_type/id,code,company_id/id,type,name,currency_mode,parent_id/id
__export__.account_account_2430000,account.data_account_type_income,4050001,__export__.res_company_2,Regular,Unrealised exchange gain,At Date,__export__.account_account_2420000
__export__.account_account_2440000,account.data_account_type_income,4050002,__export__.res_company_2,Regular,Realised exchange gain,At Date,__export__.account_account_2420000
__export__.account_account_200000,account.account_type_expense_view1,5000000,__export__.res_company_2,View,Cost of Sales,At Date,__export__.account_account_170000
__export__.account_account_210000,account.data_account_type_expense,5040000,__export__.res_company_2,Regular,Cost of Goods - Transaction Cost,At Date,__export__.account_account_200000
__export__.account_account_2450000,account.account_type_expense_view1,5010000,__export__.res_company_2,Regular,Product Cost of Sales,At Date,__export__.account_account_200000
__export__.account_account_2460000,account.data_account_type_expense,5020000,__export__.res_company_2,Regular,Cost of Sales Adjustment,At Date,__export__.account_account_200000
__export__.account_account_2470000,account.account_type_expense_view1,5030000,__export__.res_company_2,View,Direct Cost,At Date,__export__.account_account_200000
__export__.account_account_2480000,account.data_account_type_expense,5030001,__export__.res_company_2,Regular,Hedge Fees,At Date,__export__.account_account_2470000
__export__.account_account_2490000,account.data_account_type_expense,5030002,__export__.res_company_2,Regular,Freight and Handling Charges,At Date,__export__.account_account_2470000
__export__.account_account_2510000,account.data_account_type_expense,5030003,__export__.res_company_2,Regular,TOR Services,At Date,__export__.account_account_2470000
__export__.account_account_2520000,account.data_account_type_expense,5030004,__export__.res_company_2,Regular,PWSL Throughput Fees,At Date,__export__.account_account_2470000
__export__.account_account_2530000,account.data_account_type_expense,5030005,__export__.res_company_2,Regular,Bost Through Put Fees,At Date,__export__.account_account_2470000
__export__.account_account_2610000,account.data_account_type_expense,5030012,__export__.res_company_2,Regular,License Fees,At Date,__export__.account_account_2470000
__export__.account_account_2660000,account.data_account_type_expense,5030013,__export__.res_company_2,Regular,Mooring Fees,At Date,__export__.account_account_2470000
