name,location_id,usage
Rab B2,Physical Locations / WH / Stock / Gudang Bahan Kemas / Area Terkondisikan,Internal Location
Area Karantina,Physical Locations / WH / Stock / Gudang Bahan Kemas,Internal Location
Palet A1,Physical Locations / WH / Stock / Gudang Bahan Kemas / Area Karantina,Internal Location
Palet A2,Physical Locations / WH / Stock / Gudang Bahan Kemas / Area Karantina,Internal Location
Gudang Bahan Kemas Primer 2,Physical Locations / WH / Stock / Gudang Bahan Kemas,Internal Location
Blok A 7 Palet,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 2,Internal Location
Blok B 7 Palet,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 2,Internal Location
Blok C 7 Palet,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 2,Internal Location
Blok D 7 Palet,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 2,Internal Location
Area Karantina,Physical Locations / WH / Stock / Gudang Bahan Kemas,Internal Location
Blok A 7 Palet,Physical Locations / WH / Stock / Gudang Bahan Kemas / Area Karantina,Internal Location
Blok B 7 Palet,Physical Locations / WH / Stock / Gudang Bahan Kemas / Area Karantina,Internal Location
Blok C 7 Palet,Physical Locations / WH / Stock / Gudang Bahan Kemas / Area Karantina,Internal Location
Blok D 7 Palet,Physical Locations / WH / Stock / Gudang Bahan Kemas / Area Karantina,Internal Location
Gudang Bahan Kemas Primer 3 Ampul,Physical Locations / WH / Stock / Gudang Bahan Kemas,Internal Location
Blok A 12 Palet,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 3 Ampul,Internal Location
Blok B 6 Palet,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 3 Ampul,Internal Location
Blok C 6 Palet,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Primer 3 Ampul,Internal Location
Gudang Bahan Kemas Sekunder 1 Brosur dan Leflet,Physical Locations / WH / Stock / Gudang Bahan Kemas,Internal Location
Blok A 5 Lemari,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Sekunder 1 Brosur dan Leflet,Internal Location
Blok B 3 Lemari,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Sekunder 1 Brosur dan Leflet,Internal Location
Blok C 3 Lemari ,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Sekunder 1 Brosur dan Leflet,Internal Location
Blok 4 Lemari ,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Sekunder 1 Brosur dan Leflet,Internal Location
Blok E 1 Rak,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Bahan Kemas Sekunder 1 Brosur dan Leflet,Internal Location
Area Karantina,Physical Locations / WH / Stock / Gudang Bahan Kemas,Internal Location
Blok A 1 Palet,Physical Locations / WH / Stock / Gudang Bahan Kemas / Area Karantina,Internal Location
Gudang Corbox,Physical Locations / WH / Stock / Gudang Bahan Kemas,Internal Location
Palet A1,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet A2,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet A3,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet A4,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet A5,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet A6,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet A7,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet A8,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet A9,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet A10,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet B1,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet B2,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet B3,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet B4,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet B5,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet B6,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet B7,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet C1,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet C2,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet C3,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet C4,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet C5,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
Palet D1,Physical Locations / WH / Stock / Gudang Bahan Kemas / Gudang Corbox,Internal Location
