"id","name","location_id","usage"
"loc_palet_b5","Palet B5","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Corbox","Internal Location"
"loc_palet_b6","Palet B6","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Corbox","Internal Location"
"loc_palet_b7","Palet B7","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Corbox","Internal Location"
"loc_palet_c1","Palet C1","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Corbox","Internal Location"
"loc_palet_c2","Palet C2","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Corbox","Internal Location"
"loc_palet_c3","Palet C3","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Corbox","Internal Location"
"loc_palet_c4","Palet C4","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Corbox","Internal Location"
"loc_palet_c5","Palet C5","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Corbox","Internal Location"
"loc_palet_d1","Palet D1","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Corbox","Internal Location"
"loc_palet_d2","Palet D2","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Corbox","Internal Location"
"loc_palet_d3","Palet D3","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Corbox","Internal Location"
"loc_palet_d4","Palet D4","Physical Locations / BB / Stock / Gudang Bahan Kemas / Gudang Corbox","Internal Location"
