"id","name","location_id","usage"
"physical_locations__gbk__stock__gudang_corbox_palet_b3","Palet B3","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_b4","Palet B4","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_b5","Palet B5","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_b6","Palet B6","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_b7","Palet B7","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_c1","Palet C1","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_c2","Palet C2","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_c3","Palet C3","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_c4","Palet C4","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_c5","Palet C5","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_d1","Palet D1","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_d2","Palet D2","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_d3","Palet D3","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_d4","Palet D4","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_d5","Palet D5","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_d6","Palet D6","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock__gudang_corbox_palet_d7","Palet D7","Physical Locations / GBK / Stock / Gudang Corbox","Internal Location"
"physical_locations__gbk__stock_area_penimbangan","Area Penimbangan","Physical Locations / GBK / Stock","View"
