name,type,capacity,departement,location,,,,
Timbangan Avery Weight Tronex,G220,15 Kg,Produksi Ruahan,Ruang Admin Ruahan,,,,
Mesin Labelling Jihcheng,,,Produksi Ruahan,Ruang Labelling Injeksi,,,,
Mesin Printing Ampul,,,Produksi Ruahan,Ruang Labelling Injeksi,,,,
Mesin Printing Ampul Markem,ME205,,Produksi Ruahan,Ruang Labelling Injeksi,,,,
Mesin Labelling Botol Jihcheng,,,Produksi Ruahan,Ruang Labelling Syrup,,,,
Mesin Labelling Botol Jihcheng,,,Produksi Ruahan,Ruang Labelling Syrup,,,,
Mesin Labelling Pot Shanghai Suny,RB80,,Produksi Ruahan,Ruang Labelling Syrup,,,,
Timbangan Jadever,JWI-700C,150 Kg,Produksi Ruahan,Ruang Staging Produk Ruahan,,,,
Hand Mixer Makita,UT1301,,Produksi Soft Capsule,Ruang Alat Bersih,,,,
Hand Mixer Philips,HR1530,warna,Produksi Soft Capsule,Ruang Alat Bersih,,,,
Mesin Blister Duan Kwei,DK-PS,Blister Pack,Produksi Soft Capsule,Ruang Blister,,,,
Mesin Cuci Electrolux,EWF8761,7 kg,Produksi Soft Capsule,Ruang Cuci,,,,
Mesin Pengering Electrolux,EDV 600,7 kg,Produksi Soft Capsule,Ruang Cuci,,,,
Mesin Vacum Hilfisk,alto aerozo,,Produksi Soft Capsule,Ruang Cuci,,,,
Tangki Pembuangan,U mixer,150 Ltr,Produksi Soft Capsule,Ruang Cuci,,,,
Tangki Penampung,,200 Ltr,Produksi Soft Capsule,Ruang Cuci,,,,
Timbangan With Printing Mettler Toledo,AL2-4,0.19-210 gr,Produksi Soft Capsule,Ruang IPC & SPV,,,,
Colloid Mill Rimek,Karnavasi,,Produksi Soft Capsule,Ruang Mixing (Pencampuran),,,,
Tangki Gelatin With Pressure,,200 Ltr,Produksi Soft Capsule,Ruang Mixing (Pencampuran),,,,
Tangki Gelatin With Pressure 200 Ltr,,200 Ltr,Produksi Soft Capsule,Ruang Mixing (Pencampuran),,,,
Tangki Penampung 200 Ltr,,200 Ltr,Produksi Soft Capsule,Ruang Mixing (Pencampuran),,,,
Tangki Penampung,,200 Ltr,Produksi Soft Capsule,Ruang Mixing (Pencampuran),,,,
Timbangan Avery Beker 0.01 - 60 Kg,AL122,0.01 - 60 Kg,Produksi Soft Capsule,Ruang Mixing (Pencampuran),,,,
Kompor Listrik Maspion,9-301,,Produksi Soft Capsule,Ruang Pelelehan Gelatin (Mixing),,,,
Tangki Mixing Gelatin,,,Produksi Soft Capsule,Ruang Pelelehan Gelatin (Mixing),,,,
Mesin Caping,,punya sirup,Produksi Soft Capsule,Ruang Pengemasan Primer,,,,
